player_name,demo_file,map_name,kills,deaths,kd_ratio,headshot_percentage,avg_time_to_kill_ticks,opening_kills,kills_before_bomb,kills_after_bomb,avg_time_alive_ticks,multi_kill_2k,multi_kill_3k,multi_kill_4k,multi_kill_5k,total_damage,damage_per_round,bombs_planted,bombs_defused
beau,semperfi-vs-underground-m1-nuke,de_nuke,4,13,0.3076923076923077,75.0,32332.0,12,12,4,7987.5,0,0,0,0,662,38.94117647058823,0,0
Nightraid,semperfi-vs-underground-m1-nuke,de_nuke,7,14,0.5,85.71428571428571,63758.42857142857,14,14,14,5631.5,2,0,0,0,1031,60.64705882352941,1,0
Myst,semperfi-vs-underground-m1-nuke,de_nuke,9,16,0.5625,33.33333333333333,59223.555555555555,12,19,17,4703.8125,2,2,0,0,1262,74.23529411764706,0,0
hazr,semperfi-vs-underground-m1-nuke,de_nuke,9,6,1.5,33.33333333333333,63871.22222222222,16,18,18,16826.875,2,1,0,0,1095,64.41176470588235,0,0
shadiy,semperfi-vs-underground-m1-nuke,de_nuke,18,8,2.25,72.22222222222221,45467.666666666664,16,41,31,12212.625,6,2,0,0,2405,141.47058823529412,0,0
keen,semperfi-vs-underground-m1-nuke,de_nuke,15,9,1.6666666666666667,53.333333333333336,52978.333333333336,16,32,28,9166.9375,5,0,0,0,2198,129.2941176470588,0,1
Mechanical,semperfi-vs-underground-m1-nuke,de_nuke,10,15,0.6666666666666666,80.0,61952.5,16,21,19,5595.9375,3,0,0,0,1524,89.6470588235294,0,0
SaVage,semperfi-vs-underground-m2-mirage,de_mirage,16,8,2.0,62.5,49363.3125,17,66,62,16916.647058823528,4,0,0,0,1734,96.33333333333333,0,0
jayketh,semperfi-vs-underground-m2-mirage,de_mirage,9,15,0.6,66.66666666666666,74621.66666666667,17,23,49,5209.058823529412,3,0,0,0,1544,85.77777777777777,0,0
ADDICT,semperfi-vs-underground-m2-mirage,de_mirage,12,9,1.3333333333333333,66.66666666666666,53378.0,17,44,52,8664.764705882353,3,1,0,0,1782,99.0,0,1
beau,semperfi-vs-underground-m2-mirage,de_mirage,5,13,0.38461538461538464,40.0,56772.4,13,21,19,7338.823529411765,1,0,0,0,748,41.55555555555556,1,1
Nightraid,semperfi-vs-underground-m2-mirage,de_mirage,10,14,0.7142857142857143,50.0,55690.3,17,37,43,5782.235294117647,2,0,0,0,1694,94.11111111111111,1,0
Myst,semperfi-vs-underground-m2-mirage,de_mirage,7,16,0.4375,85.71428571428571,74548.71428571429,16,19,37,4771.470588235294,2,0,0,0,1290,71.66666666666667,0,0
hazr,semperfi-vs-underground-m2-mirage,de_mirage,16,9,1.7777777777777777,81.25,59695.6875,17,55,73,10914.176470588236,5,0,0,0,2322,129.0,2,0
shadiy,semperfi-vs-underground-m2-mirage,de_mirage,16,9,1.7777777777777777,56.25,57102.75,16,56,72,11075.823529411764,6,2,1,0,2402,133.44444444444446,0,0
keen,semperfi-vs-underground-m2-mirage,de_mirage,16,8,2.0,25.0,58950.8125,17,54,74,15115.588235294117,4,1,0,0,1787,99.27777777777777,3,0
Mechanical,semperfi-vs-underground-m2-mirage,de_mirage,10,16,0.625,50.0,60751.5,16,34,46,4901.35294117647,2,0,0,0,1318,73.22222222222223,1,0
